char,code_aozora,count_aozora,code_news,count_news,code_wikipedia,count_wikipedia
瑨,,0.0,,0.0,7468,1.0
瑩,7469,61.0,,0.0,7469,72.0
瑪,746a,225.0,,0.0,746a,83.0
瑫,746b,3.0,,0.0,746b,5.0
瑬,,0.0,,0.0,746c,1.0
琸,,0.0,,0.0,7438,2.0
琹,7439,3.0,,0.0,7439,13.0
琺,743a,48.0,,0.0,743a,17.0
琿,743f,1.0,,0.0,743f,17.0
瑀,,0.0,,0.0,7440,12.0
瑁,7441,148.0,,0.0,7441,59.0
瑶,7476,25.0,,0.0,7476,58.0
瑾,747e,233.0,,0.0,747e,67.0
璂,,0.0,,0.0,7482,1.0
璅,7485,2.0,,0.0,7485,2.0
璆,7486,6.0,,0.0,7486,5.0
璇,,0.0,,0.0,7487,29.0
璈,,0.0,,0.0,7488,4.0
璉,7489,45.0,,0.0,7489,37.0
璋,748b,188.0,,0.0,748b,252.0
瑙,7459,189.0,,0.0,7459,18.0
瑜,745c,571.0,,0.0,745c,183.0
瑝,,0.0,,0.0,745d,4.0
瑟,745f,58.0,,0.0,745f,15.0
璟,749f,3.0,,0.0,749f,25.0
璠,,0.0,,0.0,74a0,13.0
璡,,0.0,,0.0,74a1,10.0
璣,74a3,7.0,,0.0,74a3,13.0
璦,,0.0,,0.0,74a6,6.0
璨,74a8,3.0,,0.0,74a8,2.0
璩,,0.0,,0.0,74a9,15.0
璫,74ab,3.0,,0.0,74ab,2.0
璮,,0.0,,0.0,74ae,1.0
瑭,,0.0,,0.0,746d,43.0
瑯,746f,70.0,,0.0,746f,28.0
瑰,7470,56.0,,0.0,7470,22.0
瑱,7471,4.0,,0.0,7471,3.0
瑲,,0.0,,0.0,7472,1.0
叟,53df,339.0,,0.0,53df,95.0
叢,53e2,1965.0,,0.0,53e2,2957.0
瓏,74cf,231.0,,0.0,74cf,52.0
瓔,74d4,117.0,,0.0,74d4,14.0
瓘,,0.0,,0.0,74d8,46.0
瓛,,0.0,,0.0,74db,4.0
瓠,74e0,60.0,,0.0,74e0,8.0
瓢,74e2,1121.0,,0.0,74e2,138.0
璗,,0.0,,0.0,7497,2.0
璘,7498,3.0,,0.0,7498,5.0
璜,749c,2.0,,0.0,749c,16.0
璝,,0.0,,0.0,749d,7.0
璞,749e,31.0,,0.0,749e,7.0
璿,74bf,12.0,,0.0,74bf,10.0
瓈,74c8,16.0,,0.0,74c8,1.0
瓊,74ca,279.0,,0.0,74ca,269.0
瓌,,0.0,,0.0,74cc,97.0
俐,4fd0,9.0,,0.0,4fd0,12.0
俑,4fd1,20.0,,0.0,4fd1,16.0
侘,4f98,944.0,,0.0,4f98,38.0
侚,,0.0,,0.0,4f9a,8.0
侣,,0.0,,0.0,4fa3,1.0
叺,53fa,125.0,,0.0,53fa,4.0
叻,,0.0,,0.0,53fb,3.0
吁,5401,89.0,,0.0,5401,6.0
吃,5403,2633.0,,0.0,5403,223.0
吋,540b,193.0,,0.0,540b,5.0
䖮,45ae,2.0,,0.0,,0.0
