char,aozora_char_count,news_char_count,wiki_char_count,aozora_doc_count,news_doc_count,wiki_doc_count,total_char_count,total_doc_count,aozora_char_freq,news_char_freq,wiki_char_freq,aozora_doc_freq,news_doc_freq,wiki_doc_freq,total_char_freq,total_doc_freq
心,268242.0,810.0,59895.0,13693.0,585.0,22958.0,328947.0,37236.0,0.0019780395591393876,0.0003623567684218155,0.0005050082706012641,0.0014518652540112113,0.0012530147320261999,0.0012957630163565952,0.0012827074269714214,0.001348351908115662
道,131852.0,3185.0,192622.0,10873.0,1384.0,32843.0,327659.0,45100.0,0.0009722879785851825,0.0014248226017573855,0.0016241039001545488,0.001152861382229161,0.0029643972463662574,0.0018536782274675345,0.0012776849547617973,0.0016331150246002887
十,289350.0,308.0,37851.0,13119.0,201.0,13840.0,327509.0,27160.0,0.002133691765036727,0.0001377850428073076,0.0003191429677022865,0.0013910041822371342,0.00043052301049105327,0.0007811377361431867,0.0012771000395199934,0.000983490112375695
第,80317.0,2111.0,244735.0,9416.0,935.0,39220.0,327163.0,49571.0,0.0005922644599704676,0.0009443643680721636,0.002063497772862516,0.0009983760484751014,0.0020026816657170887,0.0022135998563248397,0.0012757508350288986,0.0017950142989902641
発,76121.0,6974.0,237606.0,8734.0,2430.0,46940.0,320701.0,58104.0,0.0005613227953909131,0.0031198470407083224,0.0020033891834791546,0.0009260637645902226,0.005204830425339599,0.002649321194693727,0.0012505526864119807,0.0021040025585227313
知,240015.0,1746.0,77442.0,13498.0,857.0,26880.0,319203.0,41235.0,0.0017698912354770695,0.0007810801452648023,0.0006529568493514166,0.0014311894543667077,0.0018356130347802618,0.0015171230019890793,0.001244711332863831,0.0014931596017603748
用,101306.0,2296.0,209061.0,10230.0,1007.0,38242.0,312663.0,49479.0,0.0007470391496416474,0.0010271248645635658,0.0017627103107132629,0.0010846842582731826,0.0021568988635049286,0.0021584009613863976,0.0012192090283211748,0.0017916828891839842
文,143645.0,969.0,165587.0,10442.0,445.0,42552.0,310201.0,53439.0,0.0010592505740062233,0.0004334860600009126,0.0013961566825954007,0.0011071625635277198,0.0009531479585498443,0.002401659895113069,0.0012096086194856978,0.0019350783547586437
新,113709.0,15957.0,177203.0,11081.0,3024.0,41058.0,306869.0,55163.0,0.0008384999374824994,0.007138428337909765,0.0014940976805301912,0.0011749155685166312,0.006477122307089279,0.0023173376568328724,0.0011966157022477576,0.001997506077650238
高,104734.0,3451.0,196075.0,10853.0,1276.0,44005.0,304260.0,56134.0,0.0007723175162238002,0.0015438187750909695,0.0016532180759352678,0.0011507407873938271,0.002733071449684497,0.0024836680692905296,0.0011864420764753126,0.0020326669354969536
通,145723.0,4742.0,151720.0,12122.0,1904.0,40895.0,302185.0,54921.0,0.001074573924577318,0.002121352834390431,0.0012792362436868485,0.0012852925296957499,0.004078188119278435,0.0023081378410097987,0.00117835074896369,0.0019887430214206754
社,62083.0,6432.0,229010.0,6511.0,1906.0,38537.0,297525.0,46954.0,0.00045780537704778,0.002877381153690268,0.0019309114959578512,0.0006903596486428829,0.004082471930328097,0.002175050934808525,0.0011601793821183113,0.001700250174392061
今,261694.0,2984.0,30666.0,13867.0,1654.0,13967.0,295344.0,29488.0,0.00192975404444279,0.0013349044407045647,0.00025856221097350976,0.0014703144290786143,0.003542711738070657,0.000788305690802882,0.0011516747145024805,0.0010677892648650403
主,134903.0,1797.0,152525.0,10057.0,871.0,42493.0,289225.0,53421.0,0.0009947863147701731,0.000803895201054324,0.0012860236492771987,0.0010663411129475462,0.0018655997121278976,0.002398329900428644,0.0011278140720718212,0.0019344265571878498
東,65024.0,5112.0,214539.0,7969.0,1658.0,41571.0,284675.0,51198.0,0.0004794925637800178,0.0022868738273732355,0.0018088983949666017,0.0008449510121387089,0.0035512793601699816,0.002346291678411012,0.001110071643070432,0.0018539295571948023
明,156992.0,3301.0,123237.0,12541.0,1611.0,33559.0,283530.0,47711.0,0.0011576724989688816,0.0014767156698276703,0.00103908012762481,0.0013297189914959907,0.0034506098005029195,0.0018940896883836128,0.0011056067900579944,0.0017276618833415604
市,32480.0,4982.0,245390.0,4652.0,1508.0,40107.0,282852.0,46267.0,0.00023951031114011716,0.0022287178028117098,0.002069020444491931,0.0004932503586986164,0.003229993531445315,0.002263662657766964,0.0011029629731650402,0.001675373233773427
内,118141.0,3356.0,159049.0,10527.0,1644.0,42261.0,280546.0,54432.0,0.0008711818863425056,0.0015013201417575467,0.0013410311450181226,0.001116175091577888,0.003521292682822346,0.0023852356840424285,0.0010939708761810395,0.0019710358540807743
戦,51340.0,2403.0,226227.0,5550.0,793.0,30168.0,279970.0,36511.0,0.00037858557185756203,0.0010749917463180527,0.001907446465202641,0.0005884650668050991,0.0016985310811910709,0.0017026996549109577,0.0010917248016525118,0.0013220989504031295
成,71160.0,2160.0,205850.0,8756.0,1064.0,48065.0,279170.0,57885.0,0.0005247399550717592,0.000966284715791508,0.0017356365723895186,0.0009283964189090897,0.0022789874784203018,0.0027128168560492964,0.0010886052536962236,0.002096072354744739
動,118402.0,1934.0,158451.0,10926.0,1009.0,37341.0,278787.0,49276.0,0.0008731065227713101,0.0008651827038614706,0.0013359890722938626,0.0011584809585427952,0.0021611826745545908,0.0021075479917140702,0.0010871117701121507,0.0017843320610244752
